filename,mask,xmin,ymin,xmax,ymax,xmax-xmin,ymax-ymin,height,width,height_check,width_check
maksssksksss0.png,without_mask,79,105,109,142,30,37,366,512,0,0
maksssksksss0.png,with_mask,185,100,226,144,41,44,366,512,0,0
maksssksksss0.png,without_mask,325,90,360,141,35,51,366,512,0,0
maksssksksss1.png,with_mask,321,34,354,69,33,35,156,400,0,0
maksssksksss1.png,with_mask,224,38,261,73,37,35,156,400,0,0
maksssksksss1.png,with_mask,299,58,315,81,16,23,156,400,0,0
maksssksksss1.png,with_mask,143,74,174,115,31,41,156,400,0,0
maksssksksss1.png,with_mask,74,69,95,99,21,30,156,400,0,0
maksssksksss1.png,with_mask,191,67,221,93,30,26,156,400,0,0
maksssksksss1.png,with_mask,21,73,44,93,23,20,156,400,0,0
maksssksksss1.png,with_mask,369,70,398,99,29,29,156,400,0,0
maksssksksss1.png,without_mask,83,56,111,89,28,33,156,400,0,0
maksssksksss10.png,with_mask,98,267,194,383,96,116,400,301,0,0
maksssksksss100.png,with_mask,189,30,245,88,56,58,226,400,0,0
maksssksksss100.png,with_mask,387,54,400,75,13,21,226,400,0,0
maksssksksss100.png,with_mask,118,87,163,126,45,39,226,400,0,0
maksssksksss101.png,with_mask,48,294,164,400,116,106,400,301,0,0
maksssksksss102.png,with_mask,212,57,251,106,39,49,225,400,0,0
maksssksksss103.png,with_mask,42,54,94,110,52,56,300,400,0,0
maksssksksss103.png,with_mask,188,46,236,106,48,60,300,400,0,0
maksssksksss103.png,with_mask,261,88,303,130,42,42,300,400,0,0
maksssksksss103.png,with_mask,368,112,400,151,32,39,300,400,0,0
maksssksksss104.png,without_mask,42,109,66,140,24,31,267,400,0,0
maksssksksss104.png,without_mask,2,105,22,125,20,20,267,400,0,0
maksssksksss104.png,without_mask,30,88,46,105,16,17,267,400,0,0
maksssksksss104.png,with_mask,133,108,174,152,41,44,267,400,0,0
maksssksksss104.png,with_mask,221,101,256,139,35,38,267,400,0,0
maksssksksss104.png,without_mask,304,131,331,158,27,27,267,400,0,0
maksssksksss104.png,without_mask,83,85,96,96,13,11,267,400,0,0
maksssksksss104.png,without_mask,167,91,180,108,13,17,267,400,0,0
maksssksksss105.png,with_mask,178,143,213,202,35,59,267,400,0,0
maksssksksss105.png,with_mask,280,103,312,145,32,42,267,400,0,0
maksssksksss105.png,with_mask,320,79,352,119,32,40,267,400,0,0
maksssksksss105.png,with_mask,365,53,390,84,25,31,267,400,0,0
maksssksksss105.png,with_mask,243,36,267,67,24,31,267,400,0,0
maksssksksss105.png,with_mask,115,47,146,87,31,40,267,400,0,0
maksssksksss105.png,with_mask,33,88,65,131,32,43,267,400,0,0
maksssksksss105.png,with_mask,29,202,65,265,36,63,267,400,0,0
maksssksksss105.png,with_mask,26,34,52,66,26,32,267,400,0,0
maksssksksss106.png,with_mask,154,51,423,391,269,340,399,600,0,0
maksssksksss107.png,with_mask,121,192,212,312,91,120,400,301,0,0
maksssksksss108.png,with_mask,155,29,180,51,25,22,225,400,0,0
maksssksksss108.png,with_mask,206,35,228,58,22,23,225,400,0,0
maksssksksss108.png,with_mask,332,67,346,81,14,14,225,400,0,0
maksssksksss108.png,with_mask,362,68,376,82,14,14,225,400,0,0
maksssksksss108.png,without_mask,267,72,278,83,11,11,225,400,0,0
maksssksksss109.png,with_mask,216,92,372,251,156,159,400,400,0,0
maksssksksss11.png,mask_weared_incorrect,23,114,77,172,54,58,267,400,0,0
maksssksksss11.png,with_mask,147,157,200,211,53,54,267,400,0,0
maksssksksss11.png,with_mask,201,191,230,234,29,43,267,400,0,0
maksssksksss11.png,with_mask,243,192,293,247,50,55,267,400,0,0
maksssksksss11.png,with_mask,309,182,346,224,37,42,267,400,0,0
maksssksksss11.png,with_mask,249,108,276,140,27,32,267,400,0,0
maksssksksss11.png,with_mask,275,99,303,128,28,29,267,400,0,0
maksssksksss11.png,with_mask,195,90,214,113,19,23,267,400,0,0
maksssksksss11.png,with_mask,214,76,237,99,23,23,267,400,0,0
maksssksksss11.png,with_mask,232,50,247,67,15,17,267,400,0,0
maksssksksss11.png,with_mask,266,45,281,61,15,16,267,400,0,0
maksssksksss11.png,with_mask,207,47,222,63,15,16,267,400,0,0
maksssksksss11.png,with_mask,227,36,239,48,12,12,267,400,0,0
maksssksksss11.png,with_mask,253,33,267,45,14,12,267,400,0,0
maksssksksss110.png,without_mask,6,111,43,148,37,37,267,400,0,0
maksssksksss110.png,without_mask,22,20,49,46,27,26,267,400,0,0
maksssksksss110.png,with_mask,48,12,70,37,22,25,267,400,0,0
maksssksksss110.png,with_mask,113,1,136,24,23,23,267,400,0,0
maksssksksss110.png,without_mask,78,17,106,46,28,29,267,400,0,0
maksssksksss110.png,without_mask,97,66,115,86,18,20,267,400,0,0
maksssksksss110.png,without_mask,70,111,104,145,34,34,267,400,0,0
maksssksksss110.png,without_mask,42,157,85,186,43,29,267,400,0,0
maksssksksss110.png,with_mask,59,205,111,264,52,59,267,400,0,0
maksssksksss110.png,without_mask,116,155,172,198,56,43,267,400,0,0
maksssksksss110.png,without_mask,112,85,149,118,37,33,267,400,0,0
maksssksksss110.png,without_mask,124,27,153,47,29,20,267,400,0,0
maksssksksss110.png,without_mask,163,29,189,53,26,24,267,400,0,0
maksssksksss110.png,with_mask,186,18,215,44,29,26,267,400,0,0
maksssksksss110.png,with_mask,178,77,214,111,36,34,267,400,0,0
maksssksksss110.png,without_mask,216,57,241,84,25,27,267,400,0,0
maksssksksss110.png,without_mask,237,15,268,46,31,31,267,400,0,0
maksssksksss110.png,without_mask,281,19,308,40,27,21,267,400,0,0
maksssksksss110.png,without_mask,286,60,311,84,25,24,267,400,0,0
maksssksksss110.png,with_mask,253,94,293,135,40,41,267,400,0,0
maksssksksss110.png,without_mask,236,161,273,195,37,34,267,400,0,0
maksssksksss110.png,with_mask,282,194,322,232,40,38,267,400,0,0
maksssksksss110.png,with_mask,314,115,350,152,36,37,267,400,0,0
maksssksksss110.png,without_mask,335,27,359,52,24,25,267,400,0,0
maksssksksss110.png,with_mask,356,72,385,98,29,26,267,400,0,0
maksssksksss111.png,with_mask,17,182,35,202,18,20,268,400,0,0
maksssksksss111.png,with_mask,48,98,61,113,13,15,268,400,0,0
maksssksksss111.png,with_mask,109,59,132,82,23,23,268,400,0,0
maksssksksss111.png,with_mask,140,64,161,85,21,21,268,400,0,0
maksssksksss111.png,with_mask,184,68,207,93,23,25,268,400,0,0
maksssksksss111.png,with_mask,248,73,267,95,19,22,268,400,0,0
maksssksksss111.png,with_mask,291,65,314,90,23,25,268,400,0,0
maksssksksss111.png,with_mask,383,96,397,110,14,14,268,400,0,0
maksssksksss111.png,without_mask,383,125,398,145,15,20,268,400,0,0
maksssksksss112.png,mask_weared_incorrect,90,84,138,131,48,47,400,267,0,0
maksssksksss113.png,with_mask,133,108,148,124,15,16,267,400,0,0
maksssksksss113.png,with_mask,203,117,214,131,11,14,267,400,0,0
maksssksksss113.png,with_mask,294,115,308,130,14,15,267,400,0,0
maksssksksss113.png,without_mask,228,119,241,134,13,15,267,400,0,0
maksssksksss114.png,without_mask,4,83,75,161,71,78,225,400,0,0
maksssksksss114.png,with_mask,80,58,153,141,73,83,225,400,0,0
maksssksksss115.png,with_mask,24,67,47,91,23,24,267,400,0,0
maksssksksss115.png,with_mask,79,91,103,112,24,21,267,400,0,0
maksssksksss115.png,with_mask,109,80,128,101,19,21,267,400,0,0
maksssksksss115.png,with_mask,137,88,159,110,22,22,267,400,0,0
maksssksksss115.png,with_mask,179,107,205,134,26,27,267,400,0,0
maksssksksss115.png,with_mask,254,105,278,128,24,23,267,400,0,0
maksssksksss115.png,with_mask,221,78,244,100,23,22,267,400,0,0
maksssksksss115.png,with_mask,172,86,183,107,11,21,267,400,0,0
maksssksksss115.png,with_mask,185,85,209,104,24,19,267,400,0,0
maksssksksss116.png,with_mask,116,88,150,122,34,34,225,400,0,0
maksssksksss116.png,with_mask,160,79,193,118,33,39,225,400,0,0
maksssksksss116.png,with_mask,235,43,272,87,37,44,225,400,0,0
maksssksksss116.png,with_mask,304,68,336,102,32,34,225,400,0,0
maksssksksss116.png,with_mask,379,61,399,96,20,35,225,400,0,0
maksssksksss117.png,with_mask,131,224,227,346,96,122,400,301,0,0
maksssksksss118.png,with_mask,138,79,176,116,38,37,267,400,0,0
maksssksksss118.png,with_mask,217,70,255,107,38,37,267,400,0,0
maksssksksss119.png,with_mask,54,92,82,120,28,28,289,400,0,0
maksssksksss119.png,with_mask,132,47,153,71,21,24,289,400,0,0
maksssksksss119.png,with_mask,242,94,268,125,26,31,289,400,0,0
maksssksksss119.png,with_mask,254,51,266,64,12,13,289,400,0,0
maksssksksss119.png,with_mask,263,79,275,92,12,13,289,400,0,0
maksssksksss119.png,without_mask,302,81,330,107,28,26,289,400,0,0
maksssksksss119.png,without_mask,352,45,377,67,25,22,289,400,0,0
maksssksksss12.png,with_mask,72,71,90,88,18,17,272,400,0,0
maksssksksss12.png,with_mask,119,70,137,88,18,18,272,400,0,0
maksssksksss12.png,with_mask,163,76,185,96,22,20,272,400,0,0
maksssksksss12.png,with_mask,120,55,132,68,12,13,272,400,0,0
maksssksksss12.png,with_mask,153,61,171,81,18,20,272,400,0,0
maksssksksss12.png,with_mask,335,70,353,87,18,17,272,400,0,0
maksssksksss12.png,with_mask,273,58,290,75,17,17,272,400,0,0
maksssksksss12.png,with_mask,232,61,249,78,17,17,272,400,0,0
maksssksksss12.png,without_mask,298,61,312,84,14,23,272,400,0,0
maksssksksss12.png,with_mask,354,54,365,68,11,14,272,400,0,0
maksssksksss120.png,with_mask,59,185,183,336,124,151,400,301,0,0
maksssksksss121.png,without_mask,11,48,41,75,30,27,300,400,0,0
maksssksksss121.png,without_mask,91,41,121,72,30,31,300,400,0,0
maksssksksss121.png,without_mask,176,56,204,83,28,27,300,400,0,0
