filename,mask,xmin,ymin,xmax,ymax
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss0.png,without_mask,79,105,109,142
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss0.png,with_mask,185,100,226,144
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss0.png,without_mask,325,90,360,141
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,321,34,354,69
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,224,38,261,73
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,299,58,315,81
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,143,74,174,115
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,74,69,95,99
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,191,67,221,93
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,21,73,44,93
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,with_mask,369,70,398,99
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss1.png,without_mask,83,56,111,89
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss10.png,with_mask,98,267,194,383
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss100.png,with_mask,189,30,245,88
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss100.png,with_mask,387,54,400,75
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss100.png,with_mask,118,87,163,126
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss101.png,with_mask,48,294,164,400
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss102.png,with_mask,212,57,251,106
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss103.png,with_mask,42,54,94,110
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss103.png,with_mask,188,46,236,106
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss103.png,with_mask,261,88,303,130
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss103.png,with_mask,368,112,400,151
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss104.png,without_mask,42,109,66,140
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss104.png,without_mask,2,105,22,125
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss104.png,without_mask,30,88,46,105
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss104.png,with_mask,133,108,174,152
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss104.png,with_mask,221,101,256,139
./Dataset/Face_Mask_Detection_Dataset_Kaggle/images/maksssksksss104.png,without_mask,304,131,331,158
