file_path,mask,xmin,ymin,xmax,ymax
./Dataset/Face-Mask-Detection-master\without_mask\0.jpg,without_mask,44,13,125,113
./Dataset/Face-Mask-Detection-master\without_mask\0_0_aidai_0014.jpg,without_mask,0,0,140,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_aidai_0029.jpg,without_mask,0,0,152,135
./Dataset/Face-Mask-Detection-master\without_mask\0_0_aidai_0043.jpg,without_mask,0,0,146,113
./Dataset/Face-Mask-Detection-master\without_mask\0_0_aidai_0074.jpg,without_mask,0,0,148,121
./Dataset/Face-Mask-Detection-master\without_mask\0_0_aidai_0084.jpg,without_mask,0,0,139,132
./Dataset/Face-Mask-Detection-master\without_mask\0_0_aidai_0136.jpg,without_mask,0,0,145,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0004.jpg,without_mask,0,0,155,133
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0020.jpg,without_mask,0,0,148,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0025.jpg,without_mask,0,0,148,138
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0027.jpg,without_mask,0,0,155,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0056.jpg,without_mask,0,0,151,130
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0057.jpg,without_mask,0,0,156,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0062.jpg,without_mask,0,0,135,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0063.jpg,without_mask,0,0,141,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0098.jpg,without_mask,0,0,127,120
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0103.jpg,without_mask,0,0,136,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0155.jpg,without_mask,0,0,142,142
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0157.jpg,without_mask,0,0,152,118
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0189.jpg,without_mask,0,1,160,131
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0201.jpg,without_mask,0,0,155,119
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0205.jpg,without_mask,0,0,154,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0209.jpg,without_mask,0,0,133,140
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0211.jpg,without_mask,0,0,143,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0214.jpg,without_mask,0,0,152,118
./Dataset/Face-Mask-Detection-master\without_mask\0_0_anhu_0216.jpg,without_mask,0,0,149,121
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baibaihe_0077.jpg,without_mask,0,0,159,129
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baibaihe_0085.jpg,without_mask,0,0,142,137
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baibaihe_0093.jpg,without_mask,0,0,153,139
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baibaihe_0204.jpg,without_mask,0,0,156,143
./Dataset/Face-Mask-Detection-master\without_mask\0_0_baibaihe_0216.jpg,without_mask,0,0,136,130
